Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
60,Miles Bridges,SF,25,CHO,47,45,37.3,8.2,17.7,.463,2.5,6.6,.373,5.7,11.0,.516,.533,2.6,3.1,.847,1.0,6.4,7.3,3.3,1.1,0.5,2.0,1.9,21.4,bridgmi02
61,Oshae Brissett,SF,25,BOS,38,0,10.6,1.2,2.7,.455,0.3,1.1,.286,0.9,1.6,.576,.515,0.9,1.4,.673,0.9,1.7,2.7,0.8,0.4,0.1,0.3,1.0,3.7,brissos01
62,Malcolm Brogdon,PG,31,POR,39,25,28.7,5.6,12.7,.440,2.1,5.1,.412,3.5,7.6,.458,.522,2.4,3.0,.819,0.7,3.1,3.8,5.5,0.7,0.2,1.5,1.5,15.7,brogdma01
63,Armoni Brooks,PG,25,BRK,10,0,10.4,1.5,4.6,.326,1.1,3.2,.344,0.4,1.4,.286,.446,0.1,0.2,.500,0.7,1.1,1.8,0.5,0.1,0.1,0.3,0.3,4.2,brookar01
64,Dillon Brooks,SF,28,HOU,49,49,31.3,4.9,11.0,.441,2.0,5.0,.397,2.9,6.0,.478,.531,1.9,2.3,.841,0.8,2.7,3.5,1.6,0.9,0.1,1.3,3.6,13.7,brookdi01
65,Bruce Brown,SG-PG,27,TOT,50,38,28.4,4.2,9.0,.469,0.8,2.7,.313,3.4,6.3,.535,.516,1.8,2.1,.857,0.8,3.6,4.4,2.8,1.0,0.3,1.1,2.3,11.0,brownbr01
65,Bruce Brown,SG,27,IND,33,33,29.7,4.5,9.5,.475,1.0,3.1,.327,3.5,6.5,.545,.527,2.0,2.5,.817,0.8,3.9,4.7,3.0,1.1,0.2,1.2,2.5,12.1,brownbr01
65,Bruce Brown,PG,27,TOR,17,5,25.8,3.6,7.9,.455,0.5,1.9,.273,3.1,5.9,.515,.489,1.4,1.4,1.000,0.9,3.1,3.9,2.2,0.8,0.5,0.9,2.0,9.1,brownbr01
66,Charlie Brown Jr.,SG,26,NYK,7,0,5.1,0.3,1.4,.200,0.3,1.0,.286,0.0,0.4,.000,.300,0.0,0.0,,0.1,0.1,0.3,0.0,0.0,0.3,0.3,0.7,0.9,brownch02
67,Greg Brown III,PF,22,DAL,6,0,6.7,0.8,1.8,.455,0.2,0.5,.333,0.7,1.3,.500,.500,0.7,1.5,.444,0.5,1.0,1.5,0.7,0.0,0.7,0.7,0.8,2.5,browngr01
